Complexity,Loss,Equation
1,100677.09,"279.5007"
3,29982.527,"x0 * 66.31945"
5,3947.5637,"x0 * (x0 * x0)"
7,2720.5479,"(x0 * x0) * (x0 * 1.0910747)"
9,2711.9106,"((x0 * x0) - -1.1777408) * (x0 * 1.0735447)"
11,2586.993,"(((x0 * x0) * x0) / (x0 - 0.70209813)) * x0"
13,2433.8054,"(5.4498897 / (4.05259 - x0)) + ((x0 + 0.7988511) * (x0 * x0))"
15,2422.3591,"(5.5226235 / (4.050076 - x0)) + (((x0 * x0) * (x0 + 0.8843199)) + -5.2124963)"
17,2395.3987,"((5.48647 / (4.0505753 - x0)) + ((x0 + 0.8033926) * (x0 * x0))) + (-4.7353525 / x0)"
19,2250.156,"(5.390062 / (4.051767 - x0)) + (((x0 * x0) * (x0 + 0.7886236)) + (-3.4062047 / (0.7289724 - x0)))"
21,2241.0261,"((5.4553986 / (4.0504007 - x0)) + (x0 * (((x0 + 1.062424) * x0) + -2.2123413))) - (3.6302958 / (0.7306189 - x0))"
23,2229.4177,"(((x0 + ((x0 * x0) + -1.9078199)) * x0) + (5.4929895 / (4.049562 - x0))) - ((2.2824445 / x0) / (0.7287022 - x0))"
25,2223.952,"(((x0 + (x0 * x0)) + -2.0848572) * x0) + (((5.470346 / (4.0514717 - x0)) - ((2.4861314 / x0) / (0.7298001 - x0))) - -3.0999696)"
27,2193.8672,"(((((x0 * x0) + x0) + -2.0805945) * x0) + ((5.4936776 / (4.051288 - x0)) - ((2.5199606 / (1.5491643 - x0)) / (0.7238427 - x0)))) + 0.51397574"
29,2185.6885,"((((x0 + -1.3233788) + (x0 * x0)) * x0) - 0.20276847) + (((5.5151815 / (4.049967 - x0)) - ((2.3643026 / (1.5472165 - x0)) / (0.72485715 - x0))) + -1.66971)"
